apple maca
pear pera
pineapple ananas
peach pessego
orange laranja
door porta
cable cabo
honey mel
easy facil
milk leite
true verdadeiro
market mercado
bubble bolha
free livre
watch relogio
knowledge conhecimento
coal carvao
word palavra
reflect reflexo
six seis
page pagina
good bom
lettuce alface
sharp afiado
small pequeno
store loja
last ultimo
wind vento
legs pernas
flower flor
wheel roda
basket cesto
fragile fragil
yellow amarelo
red vermelho
brown castanho
black preto
green verde
blue azul
purple roxo
